timeframe,vix_bucket,trades,win_rate,avg_pnl_pts,total_pnl_pts,profit_factor,max_dd_pts,dd_start,dd_end,cagr_pct,sharpe_like,max_win_streak,max_loss_streak
5,ALL,5718,42.637285764253235,2.229380902413431,12747.599999999999,1.1077632009413938,1581.099999999995,01/29/2024,09/19/2024,1.216997590692559,1.0182618669597974,10,18
5,<12,547,47.16636197440585,4.827056672760512,2640.4,1.2820217038366228,613.1999999999998,09/11/2023,10/19/2023,2.058023616528737,2.028184810287525,9,11
5,12-15,1774,43.51747463359639,2.975535512965051,5278.6,1.1555154879119456,831.0,07/26/2024,09/19/2024,1.3392199637147995,1.1701108504988045,9,9
5,>15,3397,41.44833676773624,1.4214306741242269,4828.5999999999985,1.0643918936038845,2835.3999999999996,02/14/2022,05/16/2024,1.1591820277362386,0.9099616243887007,8,19
15,ALL,4824,44.485903814262024,3.425041459369818,16522.4,1.1616263588777402,866.1999999999935,01/17/2024,03/12/2024,1.5864278045016666,1.3076211299856346,10,10
15,<12,466,46.137339055793994,3.286266094420601,1531.4,1.1897575059167564,503.79999999999984,09/22/2023,10/19/2023,1.120229567737252,1.1258295179297912,10,9
15,12-15,1489,45.5339153794493,3.9852921423774346,5934.1,1.2068481117672074,627.9999999999995,11/30/2022,01/24/2023,1.6430869438966544,1.477252500595341,7,10
15,>15,2869,43.67375392122691,3.1568142209829206,9056.9,1.1383421366970432,907.6999999999907,08/22/2022,02/29/2024,1.8649499394024938,1.411290580050354,7,9
60,ALL,3172,46.31147540983606,2.214312736443884,7023.8,1.0911371053024257,1500.2000000000037,03/19/2020,10/27/2020,0.7331126133167665,0.6079758578191284,8,9
60,<12,319,47.02194357366771,3.206896551724139,1023.0000000000002,1.1692251703831138,352.0,04/18/2017,04/21/2023,0.7734381523449629,0.8456766282567177,7,7
60,12-15,1054,47.43833017077799,3.947912713472485,4161.099999999999,1.189470760460256,801.7,01/07/2020,08/10/2021,1.0730025315678349,0.9710061050201518,9,9
60,>15,1799,45.525291828793776,1.0226236798221235,1839.7000000000003,1.037497757920655,1919.199999999999,03/09/2016,01/08/2020,0.7618253409380271,0.5651524775415112,8,10
